,country,fireArms,militaryArms,lawEnfArms,GDPPC,genderEquality,genderEqualityInEconomy,genderEqualityInEducation,genderEqualityInHealth,genderEqualityInPolitic,giniWB,giniCIA,homicideByGuns,suicideByGuns,gunDeath,gunViolence,HIVCases,HIVDeaths,homeless,homicideRate,immigrants,emigrants,incarcerations,incarcerationMrate,incarcerationFrate,jewishPop,literacyRate,activeDutyMilitary,paramilitary,reservesMilitary,annualMinimalWageEarnings,MurderRate,nobelPrize,obesityRate,oilProduction,oilReserves,PISAScore,policeKillings,povertyRate,christians,muslims,hindus,buddhists,folkReligions,jews,smokingRate,smokingRateMale,smokingRateFemale,suicideRate,suicideRateMale,suicideRateFemale,unemploymentRate,gini,workWeekAverage
0,United States,393347000.0,4535380.0,1016000.0,63416.0,0.763,0.754,1.0,0.97,0.329,41.4,41.1,4.46,7.32,40175.0,37200.0,,,580466.0,4.957,50632836.0,2996223.0,2068800.0,0.9,0.1,6000000.0,99.0,1388100.0,0.0,844950.0,15080.0,4.957,400.0,36.2,11567000.0,68.8,1485.0,946.0,17.8,243060000.0,2770000.0,1790000.0,3570000.0,630000.0,5690000.0,25.1,30.9,19.3,16.1,25.0,7.5,8.1,41.4,33.9
1,Falkland Islands,2000.0,,30.0,,,,,,,,36.0,,,,,,,,,1957.0,1518.0,,,,,,,,,,,,,,,,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,,,
2,Yemen,14859000.0,28500.0,,1927.0,0.492,0.282,0.717,0.968,0.001,36.7,36.7,,,,670.0,11000.0,500.0,3858000.0,6.7721,387113.0,1301166.0,9719.0,0.99,0.01,500.0,69.962,40000.0,0.0,0.0,,6.7721,1.0,17.1,70000.0,3.0,,,48.6,40000.0,23830000.0,150000.0,5000.0,5000.0,5000.0,20.9,32.5,9.3,5.8,7.0,4.6,13.5,36.7,
3,New Caledonia,115000.0,,700.0,,,,,,,,,,,,,,,,3.199,73141.0,5839.0,520.0,0.99,0.01,,96.9378,,,,,3.199,,,,,,,,210000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,14.6,,
4,Serbia,2719000.0,384422.0,53100.0,19146.0,0.78,0.716,0.998,0.969,0.437,36.2,36.2,0.61,2.49,306.0,397.0,3300.0,100.0,20000.0,1.2269,823011.0,1003962.0,10598.0,0.96,0.04,,98.0029,28150.0,3700.0,50150.0,,1.2269,,21.5,15000.0,,,,23.2,7490000.0,330000.0,5000.0,5000.0,5000.0,5000.0,40.6,40.0,41.2,11.4,16.6,6.3,9.0,36.2,
5,Montenegro,245000.0,5396.0,8000.0,,0.732,0.748,0.998,0.97,0.212,38.5,39.0,2.42,6.49,56.0,36.0,,,,2.23,70999.0,132965.0,863.0,0.97,0.03,,98.7199,2350.0,10100.0,0.0,,2.23,,23.3,,,,,24.5,490000.0,120000.0,5000.0,5000.0,5000.0,5000.0,,,,21.0,31.7,10.4,17.9,38.5,
6,Canada,12708000.0,233949.0,103000.0,48720.0,0.772,0.741,1.0,0.968,0.381,33.3,33.3,0.61,1.52,767.0,893.0,,,30000.0,1.7559,8049323.0,1292329.0,38570.0,0.94,0.06,393500.0,99.0,67400.0,4500.0,35600.0,20643.41,1.7559,28.0,29.4,4656000.0,168.1,1550.0,36.0,11.6,23470000.0,710000.0,470000.0,280000.0,390000.0,350000.0,17.5,22.7,12.4,11.8,17.6,6.1,9.5,33.3,32.5
7,Uruguay,1198000.0,62130.0,30000.0,22459.0,0.702,0.69,1.0,0.98,0.14,39.7,39.7,4.78,4.68,399.0,357.0,12000.0,200.0,,12.0605,108267.0,367060.0,13402.0,0.95,0.05,16000.0,98.4421,21000.0,1400.0,0.0,,12.0605,,27.9,,,,67.0,8.8,1950000.0,5000.0,5000.0,5000.0,30000.0,5000.0,21.8,25.2,18.4,21.2,34.5,8.9,10.5,39.7,29.5
8,Cyprus,285000.0,99000.0,11000.0,40107.0,0.707,0.694,0.998,0.96,0.177,32.7,31.4,1.05,0.58,22.0,19.0,,100.0,,1.2613,190366.0,173210.0,716.0,0.95,0.05,500.0,99.0598,15000.0,750.0,50000.0,,1.2613,1.0,21.8,,,,,14.7,810000.0,280000.0,5000.0,5000.0,5000.0,5000.0,36.7,50.1,23.3,3.6,6.0,1.3,7.6,32.7,34.7
9,Finland,1793000.0,475030.0,14000.0,49853.0,0.861,0.806,1.0,0.97,0.669,27.3,27.4,0.32,2.94,180.0,186.0,4000.0,100.0,4886.0,1.6297,386052.0,311889.0,2743.0,0.92,0.08,,100.0,23800.0,14200.0,216000.0,,1.6297,5.0,22.2,,,1549.0,1.0,12.2,4300000.0,40000.0,5000.0,5000.0,5000.0,5000.0,19.7,21.0,18.3,15.3,23.2,7.6,7.8,27.3,30.6
10,Lebanon,1927000.0,130150.0,41000.0,11564.0,0.638,0.487,0.964,0.97,0.129,31.8,31.8,,,,91.0,2700.0,100.0,,2.4929,1712762.0,856814.0,6670.0,0.97,0.03,,94.0511,60000.0,20000.0,0.0,,2.4929,,33.7,,,,,27.4,1620000.0,2590000.0,5000.0,5000.0,5000.0,5000.0,42.6,49.4,35.9,2.8,3.8,1.7,11.3,31.8,
11,Iceland,106000.0,650.0,590.0,55596.0,0.892,0.846,0.999,0.964,0.76,26.1,26.8,0.0,1.25,0.0,5.0,,100.0,349.0,0.891,65424.0,43251.0,106.0,0.93,0.07,,99.0,0.0,250.0,0.0,,0.891,1.0,21.9,,,,0.0,8.8,300000.0,5000.0,5000.0,5000.0,5000.0,5000.0,13.8,13.9,13.7,11.9,19.8,3.9,5.5,26.1,28.0
12,Bosnia and Herzegovina,1185000.0,27300.0,29000.0,15047.0,,,,,,33.0,33.0,,,,59.0,,,,1.1733,36042.0,1687639.0,1813.0,0.97,0.03,,98.4858,10500.0,0.0,0.0,,1.1733,2.0,17.9,,,,,16.9,1970000.0,1700000.0,5000.0,5000.0,5000.0,5000.0,38.3,46.3,30.2,10.9,17.6,4.5,15.9,33.0,
13,Austria,2577000.0,240880.0,37900.0,55218.0,0.777,0.665,1.0,0.97,0.473,30.8,29.7,0.12,2.69,259.0,253.0,7400.0,100.0,22580.0,0.9672,1738183.0,600740.0,8132.0,0.94,0.06,10000.0,98.0,22050.0,0.0,125600.0,,0.9672,22.0,20.1,10000.0,,1473.0,,13.3,6750000.0,450000.0,5000.0,20000.0,5000.0,10000.0,29.1,30.4,27.7,14.6,22.8,6.7,5.4,30.8,31.0
14,North Macedonia,621000.0,29530.0,21000.0,16712.0,0.715,0.647,0.977,0.97,0.267,33.0,,,,,,,,,1.2002,131311.0,693896.0,2125.0,0.97,0.03,500.0,97.8438,8000.0,7600.0,4850.0,,1.2002,1.0,,,,,,21.6,,,,,,,,,,9.4,13.9,4.8,17.2,33.0,
15,Norway,1537000.0,188646.0,13000.0,65800.0,0.849,0.792,1.0,0.964,0.64,27.6,27.0,0.1,1.63,94.0,93.0,5800.0,100.0,3909.0,0.4683,852238.0,191392.0,3034.0,0.96,0.05,,100.0,23250.0,0.0,40000.0,,0.4683,13.0,23.1,1744000.0,7.9,1490.0,1.0,12.7,4140000.0,180000.0,20000.0,30000.0,5000.0,5000.0,13.0,15.5,10.5,11.8,15.8,7.7,4.4,27.6,26.6
